event,site,date,white,black,result,eco,total_moves,sacrifices,king_attacks,open_files_to_king,queen_attack_participation,rook_attack_participation,attacking_piece_concentration,center_control,extended_center_control,space_advantage,piece_activity,coordination,outposts,protected_pieces,rook_on_open_file,queen_on_open_file,tactical_captures,hanging_captures,winning_exchanges,discovered_checks,double_checks,material_winning_combinations,tactical_capture_rate,hanging_capture_rate,winning_exchange_rate,double_check_rate,discovered_check_rate,AggressiveScore,PositionalScore,Label
"It \""AVRO\""",Amsterdam (Netherlands),1938.??.??,Capablanca Jose Raul (CUB),Alekhine Alexander A (RUS),1/2-1/2,E17,96,0.0,0.3958333333333333,0.0,1.2291666666666667,3.71875,0.3958333333333333,2.21875,8.802083333333334,8.96875,12.057889303983048,8.96875,0.07291666666666667,8.96875,0.3645833333333333,0.14583333333333334,11,8,1,0,0,1,0.1146,0.0833,0.0104,0.0,0.0,44.0,56.0,Positional
"It \""AVRO\""",Amsterdam (Netherlands),1938.??.??,Capablanca Jose Raul (CUB),Botvinnik Mikhail M (RUS),1/2-1/2,D93,51,0.0,0.13725490196078433,0.0784313725490196,1.8431372549019607,0.35294117647058826,0.13725490196078433,2.784313725490196,10.058823529411764,6.764705882352941,14.78742662566192,12.156862745098039,0.0,12.156862745098039,0.35294117647058826,0.0784313725490196,8,5,3,0,0,1,0.1569,0.098,0.0588,0.0,0.0,34.03,65.97,Positional
"It \""AVRO\""",Amsterdam (Netherlands),1938.??.??,Capablanca Jose Raul (CUB),Euwe Max (NED),1-0,E34,79,0.0,0.6329113924050633,0.24050632911392406,7.658227848101266,1.0632911392405062,0.620253164556962,3.1645569620253164,10.784810126582279,10.822784810126583,12.214734562202914,8.759493670886076,0.012658227848101266,8.759493670886076,0.759493670886076,0.22784810126582278,8,7,1,0,0,0,0.1013,0.0886,0.0127,0.0,0.0,41.4,58.6,Positional
"It \""AVRO\""",Amsterdam (Netherlands),1938.??.??,Capablanca Jose Raul (CUB),Fine Reuben (USA),1/2-1/2,E34,83,0.0,1.0,0.1927710843373494,1.9518072289156627,5.048192771084337,0.6144578313253012,2.4698795180722892,8.927710843373495,9.265060240963855,10.337115428079285,7.518072289156627,0.012048192771084338,7.518072289156627,0.5421686746987951,0.07228915662650602,13,9,2,0,0,1,0.1566,0.1084,0.0241,0.0,0.0,51.58,48.42,Aggressive
"It \""AVRO\""",Amsterdam (Netherlands),1938.??.??,Capablanca Jose Raul (CUB),Flohr Salomon M (CZE),1-0,D83,73,0.0,0.4383561643835616,0.0547945205479452,1.0410958904109588,4.301369863013699,0.410958904109589,2.6027397260273974,9.780821917808218,10.383561643835616,11.751010215051311,8.684931506849315,0.0,8.684931506849315,0.4931506849315068,0.0684931506849315,11,9,5,0,0,1,0.1507,0.1233,0.0685,0.0,0.0,47.27,52.73,Positional
"It \""AVRO\""",Amsterdam (Netherlands),1938.??.??,Capablanca Jose Raul (CUB),Keres Paul (EST),1/2-1/2,E42,83,0.0,0.5060240963855421,0.18072289156626506,0.6265060240963856,1.8674698795180722,0.40963855421686746,2.927710843373494,9.096385542168674,7.879518072289157,10.764074245700753,8.024096385542169,0.07228915662650602,8.024096385542169,0.37349397590361444,0.0,16,10,4,0,0,1,0.1928,0.1205,0.0482,0.0,0.0,52.88,47.12,Aggressive
"It \""AVRO\""",Amsterdam (Netherlands),1938.??.??,Capablanca Jose Raul (CUB),Reshevsky Samuel H (USA),1/2-1/2,D83,84,0.0,0.6071428571428571,0.17857142857142858,0.16666666666666666,3.7261904761904763,0.4523809523809524,1.7857142857142858,8.202380952380953,7.345238095238095,9.762951466522898,7.023809523809524,0.0,7.023809523809524,0.34523809523809523,0.0,15,14,4,0,0,1,0.1786,0.1667,0.0476,0.0,0.0,57.95,42.05,Aggressive
,Habana (Cuba),1938.??.??,Capablanca Jose Raul (CUB),Sorzano,0-1,A12,108,0.0,0.7870370370370371,0.4166666666666667,1.5277777777777777,0.42592592592592593,0.5,2.3518518518518516,9.175925925925926,6.805555555555555,10.14691262955152,8.018518518518519,0.08333333333333333,8.018518518518519,0.2037037037037037,0.09259259259259259,14,15,3,0,0,1,0.1296,0.1389,0.0278,0.0,0.0,54.59,45.41,Aggressive
It,Paris (France),1938.??.??,Capablanca Jose Raul (CUB),Rossolimo Nicholas (RUS),1-0,D66,57,0.0,0.5964912280701754,0.2631578947368421,0.017543859649122806,2.473684210526316,0.45614035087719296,2.6842105263157894,9.385964912280702,7.421052631578948,11.995637014058063,9.43859649122807,0.0,9.43859649122807,0.38596491228070173,0.0,8,8,3,0,0,2,0.1404,0.1404,0.0526,0.0,0.0,40.92,59.08,Positional
,Paris (France),1938.??.??,Capablanca Jose Raul (CUB),Romi Massimiliano,1-0,D95,55,0.0,0.36363636363636365,0.21818181818181817,2.7454545454545456,1.1090909090909091,0.36363636363636365,2.9454545454545453,10.072727272727272,7.127272727272727,14.363119002209908,11.690909090909091,0.10909090909090909,11.690909090909091,0.16363636363636364,0.05454545454545454,5,4,1,0,0,0,0.0909,0.0727,0.0182,0.0,0.0,27.86,72.14,Positional
,Paris (France),1938.??.??,Capablanca Jose Raul (CUB),Znosko-Borovsky Eugene,1-0,D34,63,0.0,0.23809523809523808,0.0,1.7936507936507937,0.9206349206349206,0.23809523809523808,3.0634920634920637,10.841269841269842,9.698412698412698,15.064089349803636,11.777777777777779,0.20634920634920634,11.777777777777779,0.4126984126984127,0.2698412698412698,7,5,1,0,0,0,0.1111,0.0794,0.0159,0.0,0.0,28.62,71.38,Positional
Simultan,Santiago (Cuba),1938.??.??,Capablanca Jose Raul (CUB),Uguet Dominguez Reyes,0-1,A13,101,0.0,1.0,0.9504950495049505,0.6039603960396039,0.45544554455445546,0.46534653465346537,2.6831683168316833,8.405940594059405,5.673267326732673,9.46233345862059,7.7227722772277225,0.0,7.7227722772277225,0.0891089108910891,0.0,17,11,3,0,0,1,0.1683,0.1089,0.0297,0.0,0.0,56.46,43.54,Aggressive
Olympiad,Buenos Aires (Argentina),1939.??.??,Capablanca Jose Raul (CUB),Tartakower Savielly (FRA),1/2-1/2,B45,60,0.0,0.8166666666666667,0.6,0.36666666666666664,1.9,0.7,2.6166666666666667,8.483333333333333,6.85,11.244055250305252,8.35,0.0,8.35,0.23333333333333334,0.06666666666666667,15,7,2,0,0,0,0.25,0.1167,0.0333,0.0,0.0,49.18,50.82,Positional
Olympiad,Buenos Aires (Argentina),1939.??.??,Czerniak Moshe (ISR),Capablanca Jose Raul (CUB),1/2-1/2,A45,83,0.0,0.7710843373493976,0.13253012048192772,4.132530120481928,0.8192771084337349,0.7710843373493976,2.6144578313253013,9.397590361445783,9.433734939759036,11.8933134469279,8.91566265060241,0.0,8.91566265060241,0.26506024096385544,0.21686746987951808,10,9,0,0,0,0,0.1205,0.1084,0.0,0.0,0.0,42.87,57.13,Positional
Olympiad,Buenos Aires (Argentina),1939.??.??,Enevoldsen Jens (DEN),Capablanca Jose Raul (CUB),0-1,E32,70,0.0,0.6,0.0,3.3857142857142857,1.2142857142857142,0.5142857142857142,3.1,10.314285714285715,10.057142857142857,13.422936587222305,10.814285714285715,0.08571428571428572,10.814285714285715,0.2714285714285714,0.07142857142857142,12,5,0,0,0,0,0.1714,0.0714,0.0,0.0,0.0,38.51,61.49,Positional
Olympiad,Buenos Aires (Argentina),1939.??.??,Flores Alvarez Rodrigo (CHI),Capablanca Jose Raul (CUB),1/2-1/2,D56,89,0.0,1.0674157303370786,0.38202247191011235,0.9325842696629213,2.6292134831460676,0.6292134831460674,2.539325842696629,9.415730337078651,7.157303370786517,10.628937448319471,7.764044943820225,0.0449438202247191,7.764044943820225,0.43820224719101125,0.06741573033707865,12,9,0,0,0,0,0.1348,0.1011,0.0,0.0,0.0,46.68,53.32,Positional
Olympiad,Buenos Aires (Argentina),1939.??.??,Keres Paul (EST),Capablanca Jose Raul (CUB),1/2-1/2,C71,66,0.0,0.25757575757575757,0.30303030303030304,1.2727272727272727,1.196969696969697,0.25757575757575757,2.712121212121212,9.393939393939394,5.651515151515151,12.068226470499198,9.484848484848484,0.0,9.484848484848484,0.22727272727272727,0.030303030303030304,12,6,3,0,0,2,0.1818,0.0909,0.0455,0.0,0.0,45.07,54.93,Positional
Olympiad,Buenos Aires (Argentina),1939.??.??,Opocensky Karel (CZE),Capablanca Jose Raul (CUB),0-1,E16,82,0.0,0.17073170731707318,0.0,1.9878048780487805,1.2926829268292683,0.14634146341463414,2.6219512195121952,9.304878048780488,7.804878048780488,11.861763541336709,9.207317073170731,0.06097560975609756,9.207317073170731,0.14634146341463414,0.0,15,14,4,0,0,1,0.1829,0.1707,0.0488,0.0,0.0,52.9,47.1,Aggressive
Olympiad,Buenos Aires (Argentina),1939.??.??,Rojahn Ernst,Capablanca Jose Raul (CUB),1/2-1/2,C51,80,0.0,0.525,0.0,0.7875,0.7375,0.5125,2.8625,10.5875,7.5625,13.750962925962927,11.1,0.0125,11.1,0.0,0.0,9,5,2,0,0,1,0.1125,0.0625,0.025,0.0,0.0,34.84,65.16,Positional
Olympiad,Buenos Aires (Argentina),1939.??.??,Stahlberg Gideon (SWE),Capablanca Jose Raul (CUB),1/2-1/2,D43,60,0.0,0.7,0.0,3.033333333333333,0.8666666666666667,0.6333333333333333,3.183333333333333,10.8,7.666666666666667,13.938890923890925,11.216666666666667,0.08333333333333333,11.216666666666667,0.15,0.0,8,6,1,0,0,0,0.1333,0.1,0.0167,0.0,0.0,35.09,64.91,Positional
It,Margate (England),1939.??.??,Capablanca Jose Raul (CUB),Najdorf Miguel (POL),1/2-1/2,E34,91,0.0,0.7252747252747253,0.4725274725274725,1.2857142857142858,2.2637362637362637,0.6813186813186813,2.3846153846153846,8.967032967032967,8.923076923076923,11.576810399612596,8.197802197802197,0.15384615384615385,8.197802197802197,0.34065934065934067,0.2087912087912088,15,10,3,0,0,2,0.1648,0.1099,0.033,0.0,0.0,51.76,48.24,Aggressive
It,Margate (England),1939.??.??,Flohr Salomon M (CZE),Capablanca Jose Raul (CUB),1/2-1/2,E11,54,0.0,0.42592592592592593,0.09259259259259259,0.46296296296296297,0.9259259259259259,0.35185185185185186,2.5185185185185186,8.75925925925926,4.611111111111111,12.350030833364164,10.0,0.0,10.0,0.14814814814814814,0.0,7,4,2,0,0,1,0.1296,0.0741,0.037,0.0,0.0,34.17,65.83,Positional
It,Margate (England),1939.??.??,Keres Paul (EST),Capablanca Jose Raul (CUB),1/2-1/2,C88,50,0.0,0.06,0.0,0.76,0.62,0.06,3.32,10.54,7.24,14.71576800976801,12.36,0.0,12.36,0.18,0.12,8,4,1,0,0,0,0.16,0.08,0.02,0.0,0.0,28.08,71.92,Positional
It,Margate (England),1939.??.??,Milner Barry Philip S (ENG),Capablanca Jose Raul (CUB),1/2-1/2,B74,57,0.0,0.42105263157894735,0.0,3.4035087719298245,2.1578947368421053,0.40350877192982454,2.6666666666666665,10.631578947368421,9.526315789473685,13.397977022977022,10.210526315789474,0.0,10.210526315789474,0.5087719298245614,0.08771929824561403,6,8,2,0,0,0,0.1053,0.1404,0.0351,0.0,0.0,36.26,63.74,Positional
It,Margate (England),1939.??.??,Sergeant Edward,Capablanca Jose Raul (CUB),1/2-1/2,C90,59,0.0,0.15254237288135594,0.11864406779661017,0.22033898305084745,0.2033898305084746,0.0847457627118644,3.5254237288135593,10.440677966101696,5.983050847457627,14.719730457866055,12.627118644067796,0.0,12.627118644067796,0.05084745762711865,0.0,9,6,2,0,0,0,0.1525,0.1017,0.0339,0.0,0.0,32.23,67.77,Positional
It,Barcelona (Spain),1992.??.??,Dorfman Josif D (FRA),Tal Mikhail (LAT),1-0,E38,49,0.0,0.3469387755102041,0.061224489795918366,3.1020408163265305,0.24489795918367346,0.2857142857142857,2.7755102040816326,10.551020408163266,8.36734693877551,14.220807763664908,11.63265306122449,0.16326530612244897,11.63265306122449,0.04081632653061224,0.24489795918367346,4,4,1,0,0,1,0.0816,0.0816,0.0204,0.0,0.0,25.76,74.24,Positional
